producer;type;rating_avg
"Paolo Scavino";"Jeb Dunnuck";98.00
"Jada Vineyard";"Jeb Dunnuck";97.50
"Elio Grasso";"Jeb Dunnuck";97.50
Patria;"Jeb Dunnuck";97.50
"Realm Cellars";"Jeb Dunnuck";97.50
"E. Pira E Figli";"Jeb Dunnuck";97.33
"Tenuta Di Biserno";"Jeb Dunnuck";97.00
"Domaine De La Janasse";"Jeb Dunnuck";97.00
"Chateau Leoville Barton";"Jeb Dunnuck";97.00
"Domaine De Marcoux";"Jeb Dunnuck";97.00
"Clos Leglise Pomerol";"Jeb Dunnuck";97.00
"Horsepower Vineyards";"Jeb Dunnuck";97.00
"Force Majeure";"Jeb Dunnuck";97.00
Guigal;"Jeb Dunnuck";97.00
"Booker Vineyard";"Jeb Dunnuck";97.00
"Pisoni Vineyards";"Jeb Dunnuck";97.00
"Raymond Vineyard";"Jeb Dunnuck";97.00
Merus;"Jeb Dunnuck";97.00
Occidental;"Jeb Dunnuck";97.00
"Clos Fourtet";"Jeb Dunnuck";97.00
"Stags Leap Wine Cellars";"Jeb Dunnuck";97.00
"Chateau Rauzan Segla";"Jeb Dunnuck";97.00
"Vinedos De Paganos";"Jeb Dunnuck";97.00
"Odette Estate";"Jeb Dunnuck";97.00
"Domaine De Cristia";"Jeb Dunnuck";97.00
"Chateau Montrose";"Jeb Dunnuck";97.00
Hourglass;"Jeb Dunnuck";97.00
"Chateau Peby Faugeres";"Jeb Dunnuck";97.00
Cayuse;"Jeb Dunnuck";97.00
"Domenico Clerico";"Jeb Dunnuck";97.00
"Chateau Hosanna";"Jeb Dunnuck";97.00
"Paul Hobbs";"Jeb Dunnuck";97.00
"Kapcsandy Family Winery";"Jeb Dunnuck";97.00
Wayfarer;"Jeb Dunnuck";96.75
"Domaine Giraud";"Jeb Dunnuck";96.50
"Auguste Clape";"Jeb Dunnuck";96.50
"Clos Du Caillou";"Jeb Dunnuck";96.50
"Paul Lato Wines";"Jeb Dunnuck";96.50
Morlet;"Jeb Dunnuck";96.33
"Chappellet Winery";"Jeb Dunnuck";96.00
"Chateau Cos Destournel";"Jeb Dunnuck";96.00
Addax;"Jeb Dunnuck";96.00
Aquilini;"Jeb Dunnuck";96.00
"Chateau Beausejour Duffau Lagarrosse";"Jeb Dunnuck";96.00
"Domaine Bernard Gripa";"Jeb Dunnuck";96.00
"Frias Family Vineyard";"Jeb Dunnuck";96.00
"Shafer Vineyards";"Jeb Dunnuck";96.00
"Adelaida Winery";"Jeb Dunnuck";96.00
"Fratelli Alessandria";"Jeb Dunnuck";96.00
"Daou Family Estates";"Jeb Dunnuck";96.00
"Peter Michael";"Jeb Dunnuck";96.00
Brancaia;"Jeb Dunnuck";96.00
"K Vintners";"Jeb Dunnuck";96.00
"Chateau Quintus";"Jeb Dunnuck";96.00
"Chateau Haut Bailly";"Jeb Dunnuck";96.00
"Gemstone Vineyard";"Jeb Dunnuck";96.00
"Castello Di Bolgheri";"Jeb Dunnuck";96.00
"Chateau De Beaucastel";"Jeb Dunnuck";96.00
"Luigi Baudana";"Jeb Dunnuck";96.00
Gallica;"Jeb Dunnuck";96.00
"Chateau Clos St. Martin";"Jeb Dunnuck";96.00
"Clos Apalta";"Jeb Dunnuck";96.00
"Elvio Cogno";"Jeb Dunnuck";96.00
"Luigi Pira";"Jeb Dunnuck";96.00
"Domaine De La Solitude";"Jeb Dunnuck";96.00
"G.D. Vajra";"Jeb Dunnuck";95.50
Jonata;"Jeb Dunnuck";95.50
Rochioli;"Jeb Dunnuck";95.33
"Kosta Browne";"Jeb Dunnuck";95.12
Doubleback;"Jeb Dunnuck";95.00
Senses;"Jeb Dunnuck";95.00
"Vineyard 29";"Jeb Dunnuck";95.00
"Chateau Mouton Rothschild";"Jeb Dunnuck";95.00
"Shibumi Knoll";"Jeb Dunnuck";95.00
Turnbull;"Jeb Dunnuck";95.00
"Yann Chave";"Jeb Dunnuck";95.00
"Cade Estate";"Jeb Dunnuck";95.00
"Lewis Cellars";"Jeb Dunnuck";95.00
Adversity;"Jeb Dunnuck";95.00
Bergstrom;"Jeb Dunnuck";95.00
Sojourn;"Jeb Dunnuck";95.00
"Chateau Beychevelle";"Jeb Dunnuck";95.00
"Woodward Canyon";"Jeb Dunnuck";95.00
"Hayfork Wine Co.";"Jeb Dunnuck";95.00
"Chateau Margaux";"Jeb Dunnuck";95.00
"Jean Louis Chave";"Jeb Dunnuck";95.00
"Laurent Fayolle";"Jeb Dunnuck";95.00
"Chateau Lafleur";"Jeb Dunnuck";95.00
"Fortunate Son Wines";"Jeb Dunnuck";95.00
"Rivers Marie";"Jeb Dunnuck";95.00
"Renato Ratti";"Jeb Dunnuck";95.00
"Maybach Family Vineyards";"Jeb Dunnuck";95.00
"Leonetti Cellar";"Jeb Dunnuck";94.67
Tor;"Jeb Dunnuck";94.50
"Mt. Brave";"Jeb Dunnuck";94.33
"Williams Selyem Winery";"Jeb Dunnuck";94.33
"The Debate";"Jeb Dunnuck";94.33
Corison;"Jeb Dunnuck";94.00
"Dalla Valle";"Jeb Dunnuck";94.00
"Chateau Haut Brion";"Jeb Dunnuck";94.00
"Cakebread Cellars";"Jeb Dunnuck";94.00
"Titus Vineyards";"Jeb Dunnuck";94.00
"Baker & Hamilton";"Jeb Dunnuck";94.00
"Far Niente";"Jeb Dunnuck";94.00
"Biondi Santi";"Jeb Dunnuck";94.00
"Pierre Jean Villa";"Jeb Dunnuck";94.00
"Merry Edwards";"Jeb Dunnuck";94.00
"La Jota Vineyards Co.";"Jeb Dunnuck";94.00
"Domaine Santa Duc";"Jeb Dunnuck";93.67
"Bacio Divino";"Jeb Dunnuck";93.67
"Zena Crown Vineyard";"Jeb Dunnuck";93.00
"Pio Cesare";"Jeb Dunnuck";93.00
Macauley;"Jeb Dunnuck";93.00
"Joseph Phelps Vineyards";"Jeb Dunnuck";93.00
Darioush;"Jeb Dunnuck";93.00
"M. Chapoutier";"Jeb Dunnuck";93.00
Pilcrow;"Jeb Dunnuck";93.00
"Lancaster Estate";"Jeb Dunnuck";93.00
Pahlmeyer;"Jeb Dunnuck";93.00
"Groth Vineyards & Winery";"Jeb Dunnuck";93.00
"Rhys Vineyards";"Jeb Dunnuck";93.00
"Chateau Angelus";"Jeb Dunnuck";93.00
"Chimney Rock Winery";"Jeb Dunnuck";93.00
"Alejandro Bulgheroni";"Jeb Dunnuck";93.00
Vietti;"Jeb Dunnuck";93.00
"Nickel & Nickel";"Jeb Dunnuck";92.50
Larkmead;"Jeb Dunnuck";92.50
"Dakota Shy";"Jeb Dunnuck";92.00
"Chateau Pontet Canet";"Jeb Dunnuck";92.00
"Clos De Loratoire Des Papes";"Jeb Dunnuck";92.00
Revana;"Jeb Dunnuck";92.00
"Corison Wines";"Jeb Dunnuck";92.00
"Georges Vernay";"Jeb Dunnuck";92.00
"Alpha Omega";"Jeb Dunnuck";91.50
"Clos Pegase";"Jeb Dunnuck";91.00
"Chateau Troplong Mondot";"Jeb Dunnuck";91.00
"Chateau Certan De May";"Jeb Dunnuck";91.00
"Duckhorn Vineyards";"Jeb Dunnuck";90.00
"Quilceda Creek";"Robert Parker";99.00
"Chateau Pontet Canet";"Robert Parker";99.00
Crasto;"Robert Parker";98.00
"Catena Zapata";"Robert Parker";98.00
"Tua Rita";"Robert Parker";98.00
"Le Macchiole";"Robert Parker";97.50
Hourglass;"Robert Parker";97.50
"Chateau Canon";"Robert Parker";97.00
Camarcanda;"Robert Parker";97.00
Realm;"Robert Parker";97.00
Marcoux;"Robert Parker";97.00
"Carte Blanche";"Robert Parker";97.00
"Daou Vineyards";"Robert Parker";97.00
Chapoutier;"Robert Parker";96.50
"Chateau Les Carmes De Haut Brion";"Robert Parker";96.00
"Beaux Freres";"Robert Parker";96.00
Patria;"Robert Parker";96.00
"Bibi Graetz";"Robert Parker";96.00
"Philip Togni";"Robert Parker";96.00
"The Debate";"Robert Parker";95.33
"Kosta Browne";"Robert Parker";95.00
"Chateau Bellevue Mondotte";"Robert Parker";95.00
Almaviva;"Robert Parker";95.00
"Chateau Peby Faugeres";"Robert Parker";95.00
Faiveley;"Robert Parker";94.50
Gaja;"Robert Parker";94.00
"Marquis Dangerville";"Robert Parker";94.00
"Domaine Josph Roty";"Robert Parker";94.00
"Peter Michael";"Robert Parker";94.00
"Chateau Lif";"Robert Parker";94.00
Jadot;"Robert Parker";94.00
Corison;"Robert Parker";94.00
"Pierre Gonon";"Robert Parker";94.00
"Beaulieu Vineyard";"Robert Parker";94.00
"Chateau Calon Segur";"Robert Parker";93.00
Delas;"Robert Parker";93.00
"Xavier Gerard";"Robert Parker";93.00
Continuum;"Robert Parker";92.00
"Domaine De Courcel";"Robert Parker";92.00
Gallica;"Robert Parker";92.00
Ceretto;"Robert Parker";91.00
"Mugneret Gibourg";"Robert Parker";90.00
"Domaine Michel Noellat";"Robert Parker";89.00
"Delille Cellars";"Robert Parkers Wine Advocate";99.00
"Domaine Des Bosquets";"Robert Parkers Wine Advocate";99.00
"Clos Mogador";"Robert Parkers Wine Advocate";99.00
Espectacle;"Robert Parkers Wine Advocate";99.00
"Chateau Beausejour Duffau Lagarrosse";"Robert Parkers Wine Advocate";98.00
"Domaine Pierre Usseglio Et Fils";"Robert Parkers Wine Advocate";98.00
"Chateau Troplong Mondot";"Robert Parkers Wine Advocate";98.00
Levet;"Robert Parkers Wine Advocate";98.00
Sena;"Robert Parkers Wine Advocate";98.00
"Le Macchiole";"Robert Parkers Wine Advocate";98.00
Anakota;"Robert Parkers Wine Advocate";98.00
"Domaine De La Janasse";"Robert Parkers Wine Advocate";98.00
"E. Pira E Figli";"Robert Parkers Wine Advocate";97.67
Occidental;"Robert Parkers Wine Advocate";97.50
Fontodi;"Robert Parkers Wine Advocate";97.50
Catena;"Robert Parkers Wine Advocate";97.00
"Fratelli Alessandria";"Robert Parkers Wine Advocate";97.00
"Daou Family Estates";"Robert Parkers Wine Advocate";97.00
Andremily;"Robert Parkers Wine Advocate";97.00
"Chateau Pichon Longueville Baron";"Robert Parkers Wine Advocate";97.00
"Chateau Leoville Barton";"Robert Parkers Wine Advocate";97.00
"Fattoria Le Pupille";"Robert Parkers Wine Advocate";97.00
Brovia;"Robert Parkers Wine Advocate";97.00
"Chateau Clinet";"Robert Parkers Wine Advocate";97.00
"Chateau Figeac";"Robert Parkers Wine Advocate";97.00
"Fitapreta Vinhos";"Robert Parkers Wine Advocate";97.00
"Tenuta Guado Al Tasso";"Robert Parkers Wine Advocate";97.00
"G.D. Vajra";"Robert Parkers Wine Advocate";97.00
"Domaine De Marcoux";"Robert Parkers Wine Advocate";97.00
"Vinedos De Paganos";"Robert Parkers Wine Advocate";97.00
"Chateau Montrose";"Robert Parkers Wine Advocate";97.00
"Elio Grasso";"Robert Parkers Wine Advocate";97.00
Torbreck;"Robert Parkers Wine Advocate";97.00
"Domaine Grand Veneur";"Robert Parkers Wine Advocate";97.00
Morlet;"Robert Parkers Wine Advocate";97.00
"Beaux Freres";"Robert Parkers Wine Advocate";97.00
"Chateau Canon";"Robert Parkers Wine Advocate";97.00
"Podere Grattamacco";"Robert Parkers Wine Advocate";97.00
"Cobb Wines";"Robert Parkers Wine Advocate";97.00
"Tenuta Di Biserno";"Robert Parkers Wine Advocate";97.00
"Vasse Felix";"Robert Parkers Wine Advocate";97.00
Hickinbotham;"Robert Parkers Wine Advocate";97.00
"Luciano Sandrone";"Robert Parkers Wine Advocate";97.00
"Chateau Cos Destournel";"Robert Parkers Wine Advocate";97.00
"Clos Des Papes";"Robert Parkers Wine Advocate";97.00
"Martinelli Winery & Vineyards";"Robert Parkers Wine Advocate";97.00
Addax;"Robert Parkers Wine Advocate";97.00
"Clos Saint Jean";"Robert Parkers Wine Advocate";96.50
Aubert;"Robert Parkers Wine Advocate";96.50
Ceretto;"Robert Parkers Wine Advocate";96.33
"Isole E Olena";"Robert Parkers Wine Advocate";96.33
"Paul Hobbs";"Robert Parkers Wine Advocate";96.00
Massolino;"Robert Parkers Wine Advocate";96.00
"Elvio Cogno";"Robert Parkers Wine Advocate";96.00
"Chateau Les Carmes Haut Brion";"Robert Parkers Wine Advocate";96.00
"Chateau Leoville Poyferre";"Robert Parkers Wine Advocate";96.00
"Realm Cellars";"Robert Parkers Wine Advocate";96.00
"Chateau Lynch Bages";"Robert Parkers Wine Advocate";96.00
Glaetzer;"Robert Parkers Wine Advocate";96.00
Azelia;"Robert Parkers Wine Advocate";96.00
"Bodega Lanzaga";"Robert Parkers Wine Advocate";96.00
Parusso;"Robert Parkers Wine Advocate";96.00
Guigal;"Robert Parkers Wine Advocate";96.00
Laventure;"Robert Parkers Wine Advocate";96.00
"Ladeiras Do Xil";"Robert Parkers Wine Advocate";96.00
Duemani;"Robert Parkers Wine Advocate";96.00
"Chateau Smith Haut Lafitte";"Robert Parkers Wine Advocate";96.00
Antinori;"Robert Parkers Wine Advocate";96.00
"Castello Di Bolgheri";"Robert Parkers Wine Advocate";96.00
"Chateau Valandraud";"Robert Parkers Wine Advocate";96.00
"Domaine Saint Prefert";"Robert Parkers Wine Advocate";96.00
"Chateau Lafleur";"Robert Parkers Wine Advocate";96.00
"Chateau Haut Bailly";"Robert Parkers Wine Advocate";96.00
"Clos Fourtet";"Robert Parkers Wine Advocate";96.00
"Booker Vineyard";"Robert Parkers Wine Advocate";96.00
"Chateau Bellevue Mondotte";"Robert Parkers Wine Advocate";96.00
"Chateau Rauzan Segla";"Robert Parkers Wine Advocate";96.00
"Chateau Ducru Beaucaillou";"Robert Parkers Wine Advocate";96.00
"Wine & Soul";"Robert Parkers Wine Advocate";96.00
Sottimano;"Robert Parkers Wine Advocate";96.00
"Dominio Del Aguila";"Robert Parkers Wine Advocate";96.00
"Conterno Fantino";"Robert Parkers Wine Advocate";96.00
"Penfolds Wines";"Robert Parkers Wine Advocate";96.00
"Domenico Clerico";"Robert Parkers Wine Advocate";96.00
"Luigi Einaudi";"Robert Parkers Wine Advocate";95.67
"Horsepower Vineyards";"Robert Parkers Wine Advocate";95.67
Patria;"Robert Parkers Wine Advocate";95.50
"Bruno Rocca";"Robert Parkers Wine Advocate";95.50
Rochioli;"Robert Parkers Wine Advocate";95.40
Cayuse;"Robert Parkers Wine Advocate";95.40
Wayfarer;"Robert Parkers Wine Advocate";95.25
"Williams Selyem Winery";"Robert Parkers Wine Advocate";95.22
"Chateau De Beaucastel";"Robert Parkers Wine Advocate";95.00
"Michele Chiarlo";"Robert Parkers Wine Advocate";95.00
"Domaine La Barroche";"Robert Parkers Wine Advocate";95.00
"La Spinetta";"Robert Parkers Wine Advocate";95.00
"Clos Apalta";"Robert Parkers Wine Advocate";95.00
Turnbull;"Robert Parkers Wine Advocate";95.00
"Chateau Hosanna";"Robert Parkers Wine Advocate";95.00
"Benjamin Romeo";"Robert Parkers Wine Advocate";95.00
Clonakilla;"Robert Parkers Wine Advocate";95.00
"Lingua Franca";"Robert Parkers Wine Advocate";95.00
"Clos Leglise Pomerol";"Robert Parkers Wine Advocate";95.00
"Van Zellers & Co";"Robert Parkers Wine Advocate";95.00
"Chateau La Mondotte";"Robert Parkers Wine Advocate";95.00
"Quinta Vale D. Maria";"Robert Parkers Wine Advocate";95.00
"Eisele Vineyard";"Robert Parkers Wine Advocate";95.00
"Biondi Santi";"Robert Parkers Wine Advocate";95.00
"Domaine Giraud";"Robert Parkers Wine Advocate";95.00
"Jada Vineyard";"Robert Parkers Wine Advocate";95.00
"Chappellet Winery";"Robert Parkers Wine Advocate";95.00
Bergstrom;"Robert Parkers Wine Advocate";95.00
"Raymond Vineyard";"Robert Parkers Wine Advocate";95.00
"Bodegas Mauro";"Robert Parkers Wine Advocate";95.00
Almaviva;"Robert Parkers Wine Advocate";95.00
Klipsun;"Robert Parkers Wine Advocate";95.00
"Mas Martinet";"Robert Parkers Wine Advocate";95.00
"Sam Jasper";"Robert Parkers Wine Advocate";95.00
"Merry Edwards";"Robert Parkers Wine Advocate";95.00
"Renato Ratti";"Robert Parkers Wine Advocate";95.00
"Barnett Vineyards";"Robert Parkers Wine Advocate";95.00
Raen;"Robert Parkers Wine Advocate";95.00
"Chateau Margaux";"Robert Parkers Wine Advocate";95.00
Vietti;"Robert Parkers Wine Advocate";95.00
"Philip Togni";"Robert Parkers Wine Advocate";95.00
"Bodegas Muga";"Robert Parkers Wine Advocate";95.00
"Terroir Al Limit";"Robert Parkers Wine Advocate";95.00
Outpost;"Robert Parkers Wine Advocate";95.00
Perus;"Robert Parkers Wine Advocate";95.00
"Chateau Clos St. Martin";"Robert Parkers Wine Advocate";95.00
"Domaine Louis Boillot";"Robert Parkers Wine Advocate";94.67
"Clos Du Caillou";"Robert Parkers Wine Advocate";94.50
"Fortunate Son Wines";"Robert Parkers Wine Advocate";94.50
"Kosta Browne";"Robert Parkers Wine Advocate";94.40
"Kapcsandy Family Winery";"Robert Parkers Wine Advocate";94.00
"Rivers Marie";"Robert Parkers Wine Advocate";94.00
"Susana Balbo";"Robert Parkers Wine Advocate";94.00
"Chateau Haut Brion";"Robert Parkers Wine Advocate";94.00
"Hyde De Villaine";"Robert Parkers Wine Advocate";94.00
"Paolo Scavino";"Robert Parkers Wine Advocate";94.00
Doubleback;"Robert Parkers Wine Advocate";94.00
"Tenuta Sette Ponti";"Robert Parkers Wine Advocate";94.00
"Beaulieu Vineyard";"Robert Parkers Wine Advocate";94.00
"Domaine Michel Lafarge";"Robert Parkers Wine Advocate";94.00
"Domaine De La Solitude";"Robert Parkers Wine Advocate";94.00
"Auguste Clape";"Robert Parkers Wine Advocate";94.00
"Robert Craig Cellars";"Robert Parkers Wine Advocate";94.00
"Domaine Bernard Gripa";"Robert Parkers Wine Advocate";94.00
Pahlmeyer;"Robert Parkers Wine Advocate";94.00
"Tempos Vega Sicilia Alion";"Robert Parkers Wine Advocate";94.00
Merus;"Robert Parkers Wine Advocate";94.00
"Domaine Fernand & Laurent Pillot";"Robert Parkers Wine Advocate";94.00
"Adelaida Winery";"Robert Parkers Wine Advocate";94.00
Henschke;"Robert Parkers Wine Advocate";94.00
"Cade Estate";"Robert Parkers Wine Advocate";94.00
"Chateau Certan De May";"Robert Parkers Wine Advocate";94.00
"Domaine Olivier Hillaire";"Robert Parkers Wine Advocate";94.00
"Dominio De Pingus";"Robert Parkers Wine Advocate";94.00
"Charles Krug";"Robert Parkers Wine Advocate";94.00
"Domaine Trapet Pere Et Fils";"Robert Parkers Wine Advocate";94.00
Contino;"Robert Parkers Wine Advocate";94.00
"Woodward Canyon";"Robert Parkers Wine Advocate";94.00
"Hayfork Wine Co.";"Robert Parkers Wine Advocate";94.00
Oshaughnessy;"Robert Parkers Wine Advocate";94.00
Mayacamas;"Robert Parkers Wine Advocate";94.00
"Mullineux Family Wines";"Robert Parkers Wine Advocate";94.00
"Zena Crown Vineyard";"Robert Parkers Wine Advocate";94.00
"Pio Cesare";"Robert Parkers Wine Advocate";94.00
Arietta;"Robert Parkers Wine Advocate";94.00
"Chateau Beychevelle";"Robert Parkers Wine Advocate";94.00
"Laurent Fayolle";"Robert Parkers Wine Advocate";94.00
"Luigi Baudana";"Robert Parkers Wine Advocate";94.00
"Domaine Jean Foillard";"Robert Parkers Wine Advocate";94.00
"Louis Jadot";"Robert Parkers Wine Advocate";93.89
"Cakebread Cellars";"Robert Parkers Wine Advocate";93.50
Tor;"Robert Parkers Wine Advocate";93.50
"Domaine Joseph Voillot";"Robert Parkers Wine Advocate";93.50
"Jean Louis Chave";"Robert Parkers Wine Advocate";93.50
"Bouchard Pere & Fils";"Robert Parkers Wine Advocate";93.40
"Nickel & Nickel";"Robert Parkers Wine Advocate";93.33
"Domaine De Larlot";"Robert Parkers Wine Advocate";93.25
"Shafer Vineyards";"Robert Parkers Wine Advocate";93.00
"Chateau Calon Segur";"Robert Parkers Wine Advocate";93.00
"Groth Vineyards & Winery";"Robert Parkers Wine Advocate";93.00
"Chateau Quintus";"Robert Parkers Wine Advocate";93.00
"Krupp Brothers Estates";"Robert Parkers Wine Advocate";93.00
Faust;"Robert Parkers Wine Advocate";93.00
"Jean Marc Vincent";"Robert Parkers Wine Advocate";93.00
"Chateau Pontet Canet";"Robert Parkers Wine Advocate";93.00
Larkmead;"Robert Parkers Wine Advocate";93.00
"Joseph Drouhin";"Robert Parkers Wine Advocate";93.00
"Mas De Boislauzon";"Robert Parkers Wine Advocate";93.00
"Domaine Du Cellier Aux Moines";"Robert Parkers Wine Advocate";93.00
"Vinos Aurelio Garcia";"Robert Parkers Wine Advocate";93.00
"Chateau Angelus";"Robert Parkers Wine Advocate";93.00
"Titus Vineyards";"Robert Parkers Wine Advocate";93.00
Faiveley;"Robert Parkers Wine Advocate";93.00
"Odette Estate";"Robert Parkers Wine Advocate";93.00
"Corison Wines";"Robert Parkers Wine Advocate";93.00
"Enclos Tourmaline";"Robert Parkers Wine Advocate";93.00
"00 Wines";"Robert Parkers Wine Advocate";93.00
"Domaine De Montille";"Robert Parkers Wine Advocate";93.00
Artadi;"Robert Parkers Wine Advocate";93.00
"Domaine De Beaurenard";"Robert Parkers Wine Advocate";93.00
"Turley Wine Cellars";"Robert Parkers Wine Advocate";93.00
"Georges Vernay";"Robert Parkers Wine Advocate";93.00
"Accendo Cellars";"Robert Parkers Wine Advocate";93.00
"Don Melchor";"Robert Parkers Wine Advocate";93.00
"Clos Pegase";"Robert Parkers Wine Advocate";93.00
"Mongeard Mugneret";"Robert Parkers Wine Advocate";93.00
"Santa Rita";"Robert Parkers Wine Advocate";93.00
"Domaine Robert Chevillon";"Robert Parkers Wine Advocate";92.75
"La Jota Vineyards Co.";"Robert Parkers Wine Advocate";92.67
"Vincent Girardin";"Robert Parkers Wine Advocate";92.50
"Domaine Anne Et Herve Sigaut";"Robert Parkers Wine Advocate";92.50
"Mt. Brave";"Robert Parkers Wine Advocate";92.50
Brandlin;"Robert Parkers Wine Advocate";92.00
Snowden;"Robert Parkers Wine Advocate";92.00
Covenant;"Robert Parkers Wine Advocate";92.00
"Chimney Rock Winery";"Robert Parkers Wine Advocate";92.00
"Louis M. Martini";"Robert Parkers Wine Advocate";92.00
"Chateau Pavie Decesse";"Robert Parkers Wine Advocate";92.00
"Domaine Jacques Frederic Mugnier";"Robert Parkers Wine Advocate";92.00
"Domaine Claude Dugat";"Robert Parkers Wine Advocate";92.00
"Joseph Phelps Vineyards";"Robert Parkers Wine Advocate";92.00
"Domaine Denis Mortet";"Robert Parkers Wine Advocate";92.00
Vizcarra;"Robert Parkers Wine Advocate";92.00
"Chateau Mouton Rothschild";"Robert Parkers Wine Advocate";92.00
"M. Chapoutier";"Robert Parkers Wine Advocate";92.00
"Alphonse Mellot";"Robert Parkers Wine Advocate";92.00
"Domaine Julien";"Robert Parkers Wine Advocate";92.00
"Lewis Cellars";"Robert Parkers Wine Advocate";92.00
"Leonetti Cellar";"Robert Parkers Wine Advocate";92.00
"Stags Leap Wine Cellars";"Robert Parkers Wine Advocate";92.00
"Far Niente";"Robert Parkers Wine Advocate";92.00
"Louis Latour";"Robert Parkers Wine Advocate";92.00
Darioush;"Robert Parkers Wine Advocate";91.50
"Domaine Bitouzet Prieur";"Robert Parkers Wine Advocate";91.33
"Domaine Des Lambrays";"Robert Parkers Wine Advocate";91.00
"Rainer Schnaitmann";"Robert Parkers Wine Advocate";91.00
"Domaine Dujac";"Robert Parkers Wine Advocate";91.00
"Domaine De Cristia";"Robert Parkers Wine Advocate";91.00
"Meo Camuzet Freres & Soeurs";"Robert Parkers Wine Advocate";91.00
"Chateau Peby Faugeres";"Robert Parkers Wine Advocate";91.00
"Stephane Ogier";"Robert Parkers Wine Advocate";91.00
"Alpha Omega";"Robert Parkers Wine Advocate";91.00
"Domaine Antoine Jobard";"Robert Parkers Wine Advocate";91.00
"Miner Family";"Robert Parkers Wine Advocate";91.00
"Yann Chave";"Robert Parkers Wine Advocate";91.00
"Domaine Dugat Py";"Robert Parkers Wine Advocate";91.00
"Hubert Lignier";"Robert Parkers Wine Advocate";91.00
"Domaine De Villaine";"Robert Parkers Wine Advocate";91.00
"Duckhorn Vineyards";"Robert Parkers Wine Advocate";91.00
"Domaine Meo Camuzet";"Robert Parkers Wine Advocate";91.00
"Arnaud Mortet";"Robert Parkers Wine Advocate";90.00
"Jean Tardy";"Robert Parkers Wine Advocate";90.00
"Aurelien Verdet";"Robert Parkers Wine Advocate";90.00
"Don Melchor";"Tasting Panel";98.00
Torcia;"Tasting Panel";96.00
Aquilini;"Tasting Panel";95.00
"Shafer Vineyards";"Tasting Panel";95.00
"Merry Edwards";"Tasting Panel";95.00
Jonata;"Tasting Panel";94.00
Turnbull;"The Somm Journal";98.00
"Chateau Canon";Vinous;98.00
